File: torb
Type: cpu
Time: Sep 15, 2018 at 8:48am (UTC)
Duration: 1mins, Total samples = 69.66s (115.71%)
Showing nodes accounting for 57.20s, 82.11% of 69.66s total
Dropped 686 nodes (cum <= 0.35s)
      flat  flat%   sum%        cum   cum%
         0     0% 82.11%      1.92s  2.76%  main.fillinAdministrator.func1
         0     0% 82.11%      9.48s 13.61%  main.fillinUser.func1
         0     0% 82.11%      5.70s  8.18%  main.loginRequired.func1
         0     0% 82.11%      2.71s  3.89%  main.main.func10
         0     0% 82.11%      0.94s  1.35%  main.main.func11
         0     0% 82.11%      1.89s  2.71%  main.main.func12
         0     0% 82.11%      0.95s  1.36%  main.main.func19
         0     0% 82.11%      9.45s 13.57%  main.main.func2
         0     0% 82.11%      1.82s  2.61%  main.main.func5
         0     0% 82.11%      0.44s  0.63%  main.main.func6
         0     0% 82.11%      3.50s  5.02%  main.main.func9
         0     0% 82.11%      0.75s  1.08%  net.(*conn).Read
         0     0% 82.11%         1s  1.44%  net.(*conn).Write
         0     0% 82.11%      0.74s  1.06%  net.(*netFD).Read
         0     0% 82.11%         1s  1.44%  net.(*netFD).Write
         0     0% 82.11%     56.39s 80.95%  net/http.(*conn).serve
         0     0% 82.11%     55.77s 80.06%  net/http.serverHandler.ServeHTTP
         0     0% 82.11%      1.46s  2.10%  runtime.(*mcache).nextFree.func1
         0     0% 82.11%      0.53s  0.76%  runtime.bgsweep
         0     0% 82.11%      2.61s  3.75%  runtime.gcAssistAlloc.func1
         0     0% 82.11%      2.61s  3.75%  runtime.gcAssistAlloc1
         0     0% 82.11%     11.38s 16.34%  runtime.gcBgMarkWorker
         0     0% 82.11%     11.36s 16.31%  runtime.gcBgMarkWorker.func2
         0     0% 82.11%      0.55s  0.79%  runtime.gosweepone
         0     0% 82.11%      0.55s  0.79%  runtime.gosweepone.func1
         0     0% 82.11%      0.42s   0.6%  runtime.largeAlloc
         0     0% 82.11%      0.42s   0.6%  runtime.mallocgc.func1
         0     0% 82.11%      2.22s  3.19%  sort.Slice
         0     0% 82.11%      0.61s  0.88%  syscall.Read
         0     0% 82.11%      1.03s  1.48%  syscall.Write
         0     0% 82.11%      1.03s  1.48%  syscall.write
         0     0% 82.11%      0.35s   0.5%  text/template.(*Template).Execute
         0     0% 82.11%      0.35s   0.5%  text/template.(*Template).execute
         0     0% 82.11%      3.18s  4.57%  time.Parse
